Fiscal Year,Department,Fund Code,Account Type,Account Category,Amount,,GL_Account_ID,GL_Account_Delimited,Column1,Column6,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Account Description,Column3,Fund Description,Department Code,Column2,Division Code,Division,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column4,Column5,Account_Class_Level_1_Sequence
FY19,,2080,Revenue,Charges for Service,24500,,11375,208-651.003,,,208,Parks and Recreation Fund,651003,Fees.WSC,,Parks and Recreation Fund,,,,,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,,2080,Revenue,Charges for Service,500,,11376,208-651.004,,,208,Parks and Recreation Fund,651004,Fees.WSC Sponsorships,,Parks and Recreation Fund,,,,,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,,2080,Revenue,Other Revenues,300,,12567,208-651.100,,,208,Parks and Recreation Fund,651100,Fees.Special Events,,Parks and Recreation Fund,,,,,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,90
FY19,,2080,Revenue,Charges for Service,16000,,2912,208-651.300,,,208,Parks and Recreation Fund,651300,Fees.Friendly Travelers,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,,2080,Revenue,Charges for Service,4000,,2914,208-653.000,,,208,Parks and Recreation Fund,653000,Concession Income.Concession Income,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,,2080,Revenue,Interest and Rentals,11000,,2916,208-664.000,,,208,Parks and Recreation Fund,664000,Interest on Investments.Interest on Investments,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,80
FY19,,2080,Revenue,Interest and Rentals,8525,,2918,208-669.000,,,208,Parks and Recreation Fund,669000,Property Rental Income.Property Rental Income,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,80
FY19,,2080,Revenue,Other Revenues,5420,,2927,208-676.000,,,208,Parks and Recreation Fund,676000,Reimbursements.Reimbursements,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,90
FY19,,2080,Revenue,Other Revenues,3300,,2929,208-676.060,,,208,Parks and Recreation Fund,676060,Reimbursements.Schools,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,90
FY19,,2080,Revenue,Other Revenues,111400,,8302,208-676.100,,,208,Parks and Recreation Fund,676100,Reimbursements.Interdepartmental,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,90
FY19,,2080,Revenue,Other Revenues,1000,,2931,208-688.000,,,208,Parks and Recreation Fund,688000,Miscellaneous Income.Miscellaneous Income,,Parks and Recreation Fund,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,90
FY19,Parks and Recreation,2080,Expense,Personal Services,140325,,2940,208-752-75200-706.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,706000,Salaries.Salaries,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,600,,11003,208-752-75200-708.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,708000,Salaries - Overtime.Salaries - Overtime,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,10790,,2942,208-752-75200-715.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,715000,F.I.C.A..F.I.C.A.,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,33998,,2944,208-752-75200-716.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,716000,Hospitalization Insurance.Hospitalization Insurance,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,188,,2946,208-752-75200-717.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,717000,Life Insurance.Life Insurance,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,59897,,2948,208-752-75200-718.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,718000,Pension.Pension,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,193,,9222,208-752-75200-718.100,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,718100,Pension.DC Plan,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,53,,9223,208-752-75200-718.200,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,718200,Pension.Retiree Health - DC Plan,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,2307,,2950,208-752-75200-719.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,719000,Workers Comp. Insurance.Work Comp. Insurance,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,2904,,2952,208-752-75200-721.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,721000,CIP and Longevity.CIP and Longevity,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Supplies,3425,,2960,208-752-75200-727.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,727000,Office Supplies.Office Supplies,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,35250,,2962,208-752-75200-801.006,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,801006,Professional Services.Prof Services Pk Design,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,312466,,2964,208-752-75200-802.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,802000,Administrative Fee.Administrative Fee,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,8150,,2966,208-752-75200-806.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,806000,Software Services.Software Services,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,1990,,2968,208-752-75200-807.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,807000,Geographic & IT Information Services.Geographic & IT Info Services,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,350,,2970,208-752-75200-850.100,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,850100,Communications.Cellular Phones,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,2360,,2972,208-752-75200-860.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,860000,Travel and Training.Travel and Training,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,27340,,2974,208-752-75200-900.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,900000,Printing & Advertising.Printing & Advertising,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,2973,,2976,208-752-75200-910.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,910000,Insurance.Liability,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,5160,,2978,208-752-75200-930.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,930000,Repairs and Maintenance.Repairs and Maintenance,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,24820,,2980,208-752-75200-940.200,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,940200,Rentals.City Hall Office Space,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,6720,,2983,208-752-75200-947.100,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,947100,Motor Pool Rental.Equipment Rental,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,500,,2984,208-752-75200-947.200,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,947200,Motor Pool Rental.Equipment Maintenance,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,1700,,2985,208-752-75200-947.300,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,947300,Motor Pool Rental.Equipment - Fuel,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,38550,,2987,208-752-75200-956.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,956000,Other Services.Other Services,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Capital Outlay,5100,,2991,208-752-75200-984.017,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,984017,Capital Outlay.Computer Equipment,,Parks and Recreation Fund,752,,75200,Parks and Rec Administration,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,120
FY19,Parks and Recreation,2080,Expense,Personal Services,514821,,2993,208-752-75600-706.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,706000,Salaries.Salaries,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,177000,,2995,208-752-75600-707.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,707000,Salaries - Temporary.Salaries - Temporary,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,27000,,2997,208-752-75600-708.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,708000,Salaries - Overtime.Salaries - Overtime,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,55713,,2999,208-752-75600-715.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,715000,F.I.C.A..F.I.C.A.,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,162059,,3001,208-752-75600-716.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,716000,Hospitalization Insurance.Hospitalization Insurance,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,706,,3003,208-752-75600-717.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,717000,Life Insurance.Life Insurance,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,202487,,3005,208-752-75600-718.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,718000,Pension.Pension,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,22920,,8200,208-752-75600-718.100,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,718100,Pension.DC Plan,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,6498,,9989,208-752-75600-718.200,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,718200,Pension.Retiree Health - DC Plan,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,26830,,3007,208-752-75600-719.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,719000,Workers Comp. Insurance.Work Comp. Insurance,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,9479,,3009,208-752-75600-721.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,721000,CIP and Longevity.CIP and Longevity,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Supplies,670,,3013,208-752-75600-740.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,740000,Operating Supplies.Operating Supplies,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Parks and Recreation,2080,Expense,Supplies,3300,,3015,208-752-75600-744.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,744000,Uniforms.Uniforms,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Parks and Recreation,2080,Expense,Supplies,900,,3017,208-752-75600-766.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,766000,Tools and Supplies.Tools and Supplies,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Parks and Recreation,2080,Expense,Supplies,73450,,3019,208-752-75600-775.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,775000,Maintenance Supplies.Maintenance Supplies,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,17200,,3021,208-752-75600-801.006,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,801006,Professional Services.Prof Services Pk Design,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,3700,,7967,208-752-75600-850.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,850000,Communications.Communications,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,2538,,3026,208-752-75600-850.100,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,850100,Communications.Cellular Phones,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,5190,,3028,208-752-75600-860.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,860000,Travel and Training.Travel and Training,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,1000,,3030,208-752-75600-900.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,900000,Printing & Advertising.Printing & Advertising,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,15158,,3032,208-752-75600-910.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,910000,Insurance.Liability,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,2270,,3033,208-752-75600-910.100,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,910100,Insurance.Property and Bonds,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,134600,,4855,208-752-75600-920.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,920000,Public Utilities.Public Utilities,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,65450,,3035,208-752-75600-930.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,930000,Repairs and Maintenance.Repairs and Maintenance,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,350,,3037,208-752-75600-940.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,940000,Rentals.Rentals,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,41400,,3038,208-752-75600-940.300,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,940300,Rentals.Motor Pool Building,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,180000,,3041,208-752-75600-947.100,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,947100,Motor Pool Rental.Equipment Rental,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,50000,,3042,208-752-75600-947.200,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,947200,Motor Pool Rental.Equipment Maintenance,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,30000,,3043,208-752-75600-947.300,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,947300,Motor Pool Rental.Equipment - Fuel,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,9210,,3045,208-752-75600-956.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,956000,Other Services.Other Services,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,5180,,9558,208-752-75600-956.010,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,956010,Other Services.Dog Park,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Other Services and Charges,23600,,8402,208-752-75600-967.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,967000,Project Costs.Project Costs,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Parks and Recreation,2080,Expense,Capital Outlay,10000,,3048,208-752-75600-975.110,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,975110,Capital Outlay.Lamar Park Improvements,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,120
FY19,Parks and Recreation,2080,Expense,Capital Outlay,20000,,3049,208-752-75600-975.112,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,975112,Capital Outlay.Lemery Park Imprvmt/Equip,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,120
FY19,Parks and Recreation,2080,Expense,Capital Outlay,10000,,7974,208-752-75600-975.228,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,975228,Capital Outlay.Prairie Park Imp,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,120
FY19,Parks and Recreation,2080,Expense,Capital Outlay,10000,,3054,208-752-75600-987.151,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,987151,Capital Outlay.Tree Planting,,Parks and Recreation Fund,752,,75600,Parks and Rec Facility,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,120
FY19,Parks and Recreation,2080,Expense,Personal Services,93489,,3079,208-752-75800-706.000,,,20875275800,Parks and Recreation Fund-Parks and Recreation-Parks and Rec - Senior Center,706000,Salaries.Salaries,,Parks and Recreation Fund,752,,75800,Parks and Rec - Senior Center,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Parks and Recreation,2080,Expense,Personal Services,47290,,3081,208-752-75800-707.000,,,20875275800,Parks and Recreation Fund-Parks and Recreation-Parks and Rec - Senior Center,707000,Salaries - Temporary.Salaries - Temporary,,Parks and Recreation Fund,752,,75800,Parks and Rec - Senior Center,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
