Fiscal Year,Amount,Account Description,Fund Code,Fund Description,Department Code,Department,Division Code,Division,Account Type,Account Category,,GL_Account_ID,GL_Account_Delimited,Column1,Column2,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column10,Column11,Account_Class_Level_1_Sequence
FY20,19276,Pension.Pension,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,12645,101-201-25300-806.000,,,10120125300,General Fund-Finance-Treasurer,806000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,556,Pension.DC Plan,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,13315,256-400-69120-806.000,,,25640069120,Community Development Fund-Planning-Rehabilitation 2020,806000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,282,Pension.Retiree Health - DC Plan,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,13368,400-441-17500-806.000,,,40044117500,Capital Improvement Fund-Public Works-Administration,806000,,,,,,,,Organization,Department,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,60
FY20,1599,Workers Comp. Insurance.Work Comp. Insurance,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,13358,202-441-46300-806.000,,,20244146300,Major Streets Fund-Public Works-Street Maintenance,806000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,981,CIP and Longevity.CIP and Longevity,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,13332,208-752-75600-806.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,806000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,1440,Accrued Sick Pay.Accrued Sick Pay,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,13381,590-441-54200-806.000,,,59044154200,Sewer Fund-Public Works-Transmission,806000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,495,Accrued Vacation Pay.Accrued Vacation Pay,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Personal Services,,13361,230-441-44300-806.000,,,23044144300,Solid Waste Disposal Fund-Public Works-Yard Waste Disposal,806000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,22700,Operating Supplies.Operating Supplies,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Supplies,,11699,249-371-37210-807.000,,,24937137210,Building Inspection Fund-Permits-Code Enforcement - Other,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,45445,Administrative Fee.Administrative Fee,4010,Library Maint & Capital Fund,267,Facilities,17500,Administration,Expense,Other Services and Charges,,11720,249-371-72200-807.000,,,24937172200,Building Inspection Fund-Permits-Zoning and Other Programs,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,5200,Communications.Communications,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,6085,591-441-56200-807.000,,,59144156200,Water Fund-Public Works-T and D - Mains,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,400,Travel and Training.Travel and Training,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,4337,590-441-54200-807.000,,,59044154200,Sewer Fund-Public Works-Transmission,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,1050,Insurance.Liability,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,2698,203-441-46300-807.000,,,20344146300,Local Streets Fund-Public Works-Street Maintenance,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,1540,Insurance.Property and Bonds,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,2516,202-441-46300-807.000,,,20244146300,Major Streets Fund-Public Works-Street Maintenance,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,120980,Public Utilities.Public Utilities,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,2968,208-752-75200-807.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,98660,Repairs and Maintenance.Repairs and Maintenance,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,1881,101-305-32500-807.000,,,10130532500,General Fund-Police-Communications/Dispatch,807000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,10000,Motor Pool Rental.Equipment Rental,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,9849,249-371-37100-810.000,,,24937137100,Building Inspection Fund-Permits-Permits,810000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,3500,Motor Pool Rental.Equipment Maintenance,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,1088,101-136-13600-835.000,,,10113613600,General Fund-District Court-District Court,835000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,2000,Motor Pool Rental.Equipment - Fuel,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,1090,101-136-13600-850.000,,,10113613600,General Fund-District Court-District Court,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,250,Other Services.Other Services,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Other Services and Charges,,1883,101-305-32500-850.000,,,10130532500,General Fund-Police-Communications/Dispatch,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,83000,Capital Outlay.Capital Outlay,4010,Library Maint & Capital Fund,267,Facilities,75600,Parks and Rec Facility,Expense,Capital Outlay,,1614,101-305-30610-850.000,,,10130530610,General Fund-Police-Building ,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,36500,Capital Outlay.Capital Outlay,4010,Library Maint & Capital Fund,267,Facilities,26700,Facilities Maintenance,Expense,Capital Outlay,,1482,101-258-25800-850.000,,,10125825800,General Fund-Information Technology-Information Technology,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,100000,Transfer.from Sewer Operating,5890,Sewer - Construction Reserve,,,,,Revenue,Other Financing Sources,,1525,101-267-26700-850.000,,,10126726700,General Fund-Facilities-Facilities Maintenance,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,9450000,Charges for Services.Metered Sales Gen Customers,5900,Sewer Fund,,,,,Revenue,Charges for Service,,3112,208-752-75800-850.000,,,20875275800,Parks and Recreation Fund-Parks and Recreation-Parks and Rec - Senior Center,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,1890000,Charges for Services.Ready to Serve Charges,5900,Sewer Fund,,,,,Revenue,Charges for Service,,1940,101-337-33800-850.000,,,10133733800,General Fund-Fire-Buildings,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,100000,Charges for Services.System Development Chg,5900,Sewer Fund,,,,,Revenue,Charges for Service,,4339,590-441-54200-850.000,,,59044154200,Sewer Fund-Public Works-Transmission,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,1600000,Charges for Services.Sewer Surcharges,5900,Sewer Fund,,,,,Revenue,Charges for Service,,4403,590-590-54300-850.000,,,59059054300,Sewer Fund-Wastewater Utility-Treatment,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,15000,Charges for Services.Industrl Cust. Penalties,5900,Sewer Fund,,,,,Revenue,Charges for Service,,4493,590-590-54700-850.000,,,59059054700,Sewer Fund-Wastewater Utility-Industrial Pretreatment,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,2100000,Charges for Services Mun. Cust..Kentwood,5900,Sewer Fund,,,,,Revenue,Charges for Service,,4588,591-591-56100-850.000,,,59159156100,Water Fund-Water Utility-T and D - Storage/W of Gezon,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,15000,Charges for Services Mun. Cust..Grandville,5900,Sewer Fund,,,,,Revenue,Charges for Service,,3777,591-591-55300-850.000,,,59159155300,Water Fund-Water Utility-Pumping and Treatment,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,400000,Charges for Services Mun. Cust..Grand Valley Regional Biosolids ,5900,Sewer Fund,,,,,Revenue,Charges for Service,,3819,591-591-55800-850.000,,,59159155800,Water Fund-Water Utility-T and D - Storage/E of Gezon,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,2700000,Charges for Services Mun. Cust..Byron Gaines,5900,Sewer Fund,,,,,Revenue,Charges for Service,,3878,591-591-55900-850.000,,,59159155900,Water Fund-Water Utility-T and  D - Gezon Station,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,40000,Collection Cost Recovery Fee.Collection Cost Receovery Fee,5900,Sewer Fund,,,,,Revenue,Fines and Forfeitures,,4702,591-591-56500-850.000,,,59159156500,Water Fund-Water Utility-T and D - Meters,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,120000,Forfeited Discount Penalty.Forfeited Discount Penalty,5900,Sewer Fund,,,,,Revenue,Fines and Forfeitures,,5210,661-441-58300-850.000,,,66144158300,Motor Pool Fund-Public Works-Building,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Internal Service Funds,20,,,60
FY20,200150,Interest on Investments.Interest on Investments,5900,Sewer Fund,,,,,Revenue,Interest and Rentals,,7967,208-752-75600-850.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,30000,Rental Income.Property,5900,Sewer Fund,,,,,Revenue,Interest and Rentals,,12816,401-267-26700-850.000,,,40126726700,Library Maint & Capital Fund-Facilities-Facilities Maintenance,850000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,15000,Miscellaneous Income.Miscellaneous Income,5900,Sewer Fund,,,,,Revenue,Other Revenues,,13077,101-210-21000-850.100,,,10121021000,General Fund-Attorney-Legal Services,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,417000,Contributions.Grand Valley Regional Biosolids ,5900,Sewer Fund,,,,,Revenue,Contributions from Local Units,,11768,101-215-21500-850.100,,,10121521500,General Fund-City Clerk-City Clerk,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,52095,Salaries.Salaries,5900,Sewer Fund,590,Wastewater Utility,54800,GVRBA Operations-Land Appl,Expense,Personal Services,,12361,202-441-47800-850.100,,,20244147800,Major Streets Fund-Public Works-Winter Maintenance,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,423850,Salaries.Salaries,5900,Sewer Fund,441,Public Works,54200,Transmission,Expense,Personal Services,,12362,203-441-47400-850.100,,,20344147400,Local Streets Fund-Public Works-Traffic Services,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,1241974,Salaries.Salaries,5900,Sewer Fund,590,Wastewater Utility,54300,Treatment,Expense,Personal Services,,12363,203-441-47800-850.100,,,20344147800,Local Streets Fund-Public Works-Winter Maintenance,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,280933,Salaries.Salaries,5900,Sewer Fund,590,Wastewater Utility,54700,Industrial Pretreatment,Expense,Personal Services,,12364,661-441-58300-850.100,,,66144158300,Motor Pool Fund-Public Works-Building,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Internal Service Funds,20,,,60
FY20,291564,Salaries.Salaries,5900,Sewer Fund,590,Wastewater Utility,54310,Treatment - Lab Services,Expense,Personal Services,,13369,400-441-17500-850.100,,,40044117500,Capital Improvement Fund-Public Works-Administration,850100,,,,,,,,Organization,Department,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,60
FY20,9014,Salaries.Salaries,5900,Sewer Fund,590,Wastewater Utility,54801,GVRBA Operations-Pump House,Expense,Personal Services,,13316,256-400-69120-850.100,,,25640069120,Community Development Fund-Planning-Rehabilitation 2020,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,15000,Salaries - Temporary.Salaries - Temporary,5900,Sewer Fund,590,Wastewater Utility,54300,Treatment,Expense,Personal Services,,13262,256-400-17520-850.100,,,25640017520,Community Development Fund-Planning-Administration 2020,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,25000,Salaries - Temporary.Salaries - Temporary,5900,Sewer Fund,441,Public Works,54200,Transmission,Expense,Personal Services,,9357,590-590-54801-850.100,,,59059054801,Sewer Fund-Wastewater Utility-GVRBA Operations-Pump House,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,3200,Salaries - Overtime.Salaries - Overtime,5900,Sewer Fund,590,Wastewater Utility,54800,GVRBA Operations-Land Appl,Expense,Personal Services,,9137,249-371-37100-850.100,,,24937137100,Building Inspection Fund-Permits-Permits,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,32330,Salaries - Overtime.Salaries - Overtime,5900,Sewer Fund,441,Public Works,54200,Transmission,Expense,Personal Services,,10011,101-305-32500-850.100,,,10130532500,General Fund-Police-Communications/Dispatch,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,105800,Salaries - Overtime.Salaries - Overtime,5900,Sewer Fund,590,Wastewater Utility,54300,Treatment,Expense,Personal Services,,10013,101-305-31500-850.100,,,10130531500,General Fund-Police-Patrol,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,7500,Salaries - Overtime.Salaries - Overtime,5900,Sewer Fund,590,Wastewater Utility,54700,Industrial Pretreatment,Expense,Personal Services,,11661,249-371-37210-850.100,,,24937137210,Building Inspection Fund-Permits-Code Enforcement - Other,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,17000,Salaries - Overtime.Salaries - Overtime,5900,Sewer Fund,590,Wastewater Utility,54310,Treatment - Lab Services,Expense,Personal Services,,11670,249-371-37220-850.100,,,24937137220,Building Inspection Fund-Permits-Code Enforcement - CDBG Eligible,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,1000,Salaries - Overtime.Salaries - Overtime,5900,Sewer Fund,590,Wastewater Utility,54801,GVRBA Operations-Pump House,Expense,Personal Services,,11679,249-371-37300-850.100,,,24937137300,Building Inspection Fund-Permits-Rental Program,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,4309,F.I.C.A..F.I.C.A.,5900,Sewer Fund,590,Wastewater Utility,54800,GVRBA Operations-Land Appl,Expense,Personal Services,,11688,249-371-72200-850.100,,,24937172200,Building Inspection Fund-Permits-Zoning and Other Programs,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,22484,F.I.C.A..F.I.C.A.,5900,Sewer Fund,590,Wastewater Utility,54700,Industrial Pretreatment,Expense,Personal Services,,10630,590-590-54310-850.100,,,59059054310,Sewer Fund-Wastewater Utility-Treatment - Lab Services,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,104857,F.I.C.A..F.I.C.A.,5900,Sewer Fund,590,Wastewater Utility,54300,Treatment,Expense,Personal Services,,10702,591-591-55310-850.100,,,59159155310,Water Fund-Water Utility-Pumping&Treatment - Lab Services,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,37270,F.I.C.A..F.I.C.A.,5900,Sewer Fund,441,Public Works,54200,Transmission,Expense,Personal Services,,11005,101-400-40000-850.100,,,10140040000,General Fund-Planning-Planning,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,23841,F.I.C.A..F.I.C.A.,5900,Sewer Fund,590,Wastewater Utility,54310,Treatment - Lab Services,Expense,Personal Services,,8029,591-441-56700-850.100,,,59144156700,Water Fund-Public Works-T and D - Services,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,780,F.I.C.A..F.I.C.A.,5900,Sewer Fund,590,Wastewater Utility,54801,GVRBA Operations-Pump House,Expense,Personal Services,,8882,590-590-54800-850.100,,,59059054800,Sewer Fund-Wastewater Utility-GVRBA Operations-Land Appl,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,19971,Hospitalization Insurance.Hospitalization Insurance,5900,Sewer Fund,590,Wastewater Utility,54800,GVRBA Operations-Land Appl,Expense,Personal Services,,6087,591-441-56200-850.100,,,59144156200,Water Fund-Public Works-T and D - Mains,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,134401,Hospitalization Insurance.Hospitalization Insurance,5900,Sewer Fund,441,Public Works,54200,Transmission,Expense,Personal Services,,4703,591-591-56500-850.100,,,59159156500,Water Fund-Water Utility-T and D - Meters,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,351876,Hospitalization Insurance.Hospitalization Insurance,5900,Sewer Fund,590,Wastewater Utility,54300,Treatment,Expense,Personal Services,,4820,591-591-56900-850.100,,,59159156900,Water Fund-Water Utility-Customer Accounting,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,80278,Hospitalization Insurance.Hospitalization Insurance,5900,Sewer Fund,590,Wastewater Utility,54700,Industrial Pretreatment,Expense,Personal Services,,5168,661-441-58200-850.100,,,66144158200,Motor Pool Fund-Public Works-Equipment Operations,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Internal Service Funds,20,,,60
FY20,3456,Hospitalization Insurance.Hospitalization Insurance,5900,Sewer Fund,590,Wastewater Utility,54801,GVRBA Operations-Pump House,Expense,Personal Services,,3778,591-591-55300-850.100,,,59159155300,Water Fund-Water Utility-Pumping and Treatment,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,83225,Hospitalization Insurance.Hospitalization Insurance,5900,Sewer Fund,590,Wastewater Utility,54310,Treatment - Lab Services,Expense,Personal Services,,4494,590-590-54700-850.100,,,59059054700,Sewer Fund-Wastewater Utility-Industrial Pretreatment,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,72,Life Insurance.Life Insurance,5900,Sewer Fund,590,Wastewater Utility,54800,GVRBA Operations-Land Appl,Expense,Personal Services,,4404,590-590-54300-850.100,,,59059054300,Sewer Fund-Wastewater Utility-Treatment,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,380,Life Insurance.Life Insurance,5900,Sewer Fund,590,Wastewater Utility,54700,Industrial Pretreatment,Expense,Personal Services,,4340,590-441-54200-850.100,,,59044154200,Sewer Fund-Public Works-Transmission,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,60
FY20,1697,Life Insurance.Life Insurance,5900,Sewer Fund,590,Wastewater Utility,54300,Treatment,Expense,Personal Services,,1941,101-337-33800-850.100,,,10133733800,General Fund-Fire-Buildings,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,580,Life Insurance.Life Insurance,5900,Sewer Fund,441,Public Works,54200,Transmission,Expense,Personal Services,,2518,202-441-46300-850.100,,,20244146300,Major Streets Fund-Public Works-Street Maintenance,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,13,Life Insurance.Life Insurance,5900,Sewer Fund,590,Wastewater Utility,54801,GVRBA Operations-Pump House,Expense,Personal Services,,2700,203-441-46300-850.100,,,20344146300,Local Streets Fund-Public Works-Street Maintenance,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,399,Life Insurance.Life Insurance,5900,Sewer Fund,590,Wastewater Utility,54310,Treatment - Lab Services,Expense,Personal Services,,2568,202-441-47400-850.100,,,20244147400,Major Streets Fund-Public Works-Traffic Services,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,13814,Pension.Pension,5900,Sewer Fund,590,Wastewater Utility,54800,GVRBA Operations-Land Appl,Expense,Personal Services,,3113,208-752-75800-850.100,,,20875275800,Parks and Recreation Fund-Parks and Recreation-Parks and Rec - Senior Center,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,168748,Pension.Pension,5900,Sewer Fund,441,Public Works,54200,Transmission,Expense,Personal Services,,3026,208-752-75600-850.100,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,343934,Pension.Pension,5900,Sewer Fund,590,Wastewater Utility,54300,Treatment,Expense,Personal Services,,3163,208-752-76100-850.100,,,20875276100,Parks and Recreation Fund-Parks and Recreation-Recreation,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,79671,Pension.Pension,5900,Sewer Fund,590,Wastewater Utility,54700,Industrial Pretreatment,Expense,Personal Services,,3293,230-441-44300-850.100,,,23044144300,Solid Waste Disposal Fund-Public Works-Yard Waste Disposal,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,75431,Pension.Pension,5900,Sewer Fund,590,Wastewater Utility,54310,Treatment - Lab Services,Expense,Personal Services,,2970,208-752-75200-850.100,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,2534,Pension.Pension,5900,Sewer Fund,590,Wastewater Utility,54801,GVRBA Operations-Pump House,Expense,Personal Services,,1526,101-267-26700-850.100,,,10126726700,General Fund-Facilities-Facilities Maintenance,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,17553,Pension.DC Plan,5900,Sewer Fund,590,Wastewater Utility,54310,Treatment - Lab Services,Expense,Personal Services,,1483,101-258-25800-850.100,,,10125825800,General Fund-Information Technology-Information Technology,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,722,Pension.DC Plan,5900,Sewer Fund,590,Wastewater Utility,54801,GVRBA Operations-Pump House,Expense,Personal Services,,1145,101-172-17200-850.100,,,10117217200,General Fund-City Manager-City Manager,850100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
FY20,9309,Pension.DC Plan,5900,Sewer Fund,590,Wastewater Utility,54700,Industrial Pretreatment,Expense,Personal Services,,1291,101-215-21500-860.000,,,10121521500,General Fund-City Clerk-City Clerk,860000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,60
