Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Expense,Police,Building ,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,90,,,101,305,30610
FY20,Expense,Police,Administration Services,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,6535,,,101,305,30500
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,1728,,,101,267,26700
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7505,,,101,258,25800
FY20,Expense,City Clerk,City Clerk,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,4986,,,101,215,21500
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,4832,,,101,209,20900
FY20,Expense,District Court,District Court - Probation,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,3362,,,101,136,15100
FY20,Expense,District Court,District Court,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,13196,,,101,136,13600
FY20,Expense,Finance,Accounting,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,6051,,,101,201,20100
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7301,,,101,172,17200
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,CIP and Longevity.CIP and Longevity,3494,,,208,752,75200
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,1187,,,203,441,47400
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,CIP and Longevity.CIP and Longevity,3777,,,208,752,76100
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,CIP and Longevity.CIP and Longevity,9894,,,208,752,75600
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,CIP and Longevity.CIP and Longevity,210,,,208,752,75800
FY20,Expense,Fire,Prevention,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,900,,,101,337,34100
FY20,Expense,Planning,Planning,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,353,,,101,400,40000
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,5071,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,5810,,,203,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,3312,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,222,,,203,441,47800
FY20,Expense,Permits,Permits,Building Inspection Fund,Personal Services,CIP and Longevity.CIP and Longevity,4946,,,249,371,37100
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Personal Services,CIP and Longevity.CIP and Longevity,179,,,590,590,54801
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Personal Services,CIP and Longevity.CIP and Longevity,4465,,,591,591,55310
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Personal Services,CIP and Longevity.CIP and Longevity,3075,,,590,590,54310
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,CIP and Longevity.CIP and Longevity,123,,,208,752,76111
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,CIP and Longevity.CIP and Longevity,123,,,208,752,76110
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,CIP and Longevity.CIP and Longevity,1752,,,249,371,37210
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Personal Services,CIP and Longevity.CIP and Longevity,559,,,249,371,37220
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Personal Services,CIP and Longevity.CIP and Longevity,1271,,,249,371,37300
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Personal Services,CIP and Longevity.CIP and Longevity,803,,,249,371,72200
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,CIP and Longevity.CIP and Longevity,981,,,401,267,26700
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,CIP and Longevity.CIP and Longevity,779,,,230,441,44300
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,222,,,202,441,47800
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Personal Services,CIP and Longevity.CIP and Longevity,3134,,,400,441,17500
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Personal Services,CIP and Longevity.CIP and Longevity,32,,,256,400,69120
FY20,Expense,Planning,Administration 2020,Community Development Fund,Personal Services,CIP and Longevity.CIP and Longevity,260,,,256,400,17520
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,CIP and Longevity.CIP and Longevity,980,,,208,752,76112
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,5222,,,101,209,20900
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,5759,,,101,201,20100
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,4100,,,101,267,26700
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,37890,,,208,752,76100
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,1440,,,401,267,26700
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,2162,,,230,441,44300
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,18250,,,208,752,75600
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,4758,,,202,441,46300
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,5627,,,591,441,56200
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,21640,,,591,591,55300
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,21640,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,6062,,,590,441,54200
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,3031,,,661,441,58200
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,Accrued Sick Pay.Accrued Sick Pay,9129,,,208,752,75200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,2085,,,591,441,56200
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,1762,,,202,441,46300
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,10870,,,208,752,75600
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,1123,,,661,441,58200
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,2246,,,590,441,54200
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,8020,,,590,590,54300
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,8020,,,591,591,55300
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,800,,,230,441,44300
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,495,,,401,267,26700
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,14152,,,208,752,76100
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,1000,,,101,267,26700
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,6485,,,101,201,20100
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Accrued Vacation Pay.Accrued Vacation Pay,8288,,,101,209,20900
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Supplies,Office Supplies.Office Supplies,5000,,,591,591,55300
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Supplies,Office Supplies.Office Supplies,250,,,591,591,55900
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Supplies,Office Supplies.Office Supplies,4000,,,590,590,54300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Supplies,Office Supplies.Office Supplies,1000,,,590,590,54700
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Supplies,Office Supplies.Office Supplies,17800,,,591,591,56900
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Supplies,Office Supplies.Office Supplies,840,,,661,441,58200
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Supplies,Office Supplies.Office Supplies,3080,,,208,752,75200
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Supplies,Office Supplies.Office Supplies,2310,,,208,752,75800
FY20,Expense,Planning,Planning,General Fund,Supplies,Office Supplies.Office Supplies,550,,,101,400,40000
FY20,Expense,Finance,Treasurer,General Fund,Supplies,Office Supplies.Office Supplies,8250,,,101,201,25300
FY20,Expense,Fire,Administration Services,General Fund,Supplies,Office Supplies.Office Supplies,2500,,,101,337,33700
FY20,Expense,Police,Records Management,General Fund,Supplies,Office Supplies.Office Supplies,1000,,,101,305,30700
FY20,Expense,Police,Administration Services,General Fund,Supplies,Office Supplies.Office Supplies,14800,,,101,305,30500
FY20,Expense,Assessor,Assessor,General Fund,Supplies,Office Supplies.Office Supplies,4400,,,101,209,20900
FY20,Expense,City Clerk,City Clerk - Election,General Fund,Supplies,Office Supplies.Office Supplies,6000,,,101,215,19100
FY20,Expense,City Clerk,City Clerk,General Fund,Supplies,Office Supplies.Office Supplies,2400,,,101,215,21500
FY20,Expense,District Court,District Court,General Fund,Supplies,Office Supplies.Office Supplies,33300,,,101,136,13600
FY20,Expense,City Manager,City Manager,General Fund,Supplies,Office Supplies.Office Supplies,22560,,,101,172,17200
FY20,Expense,Finance,Accounting,General Fund,Supplies,Office Supplies.Office Supplies,5385,,,101,201,20100
FY20,Expense,Permits,Permits,Building Inspection Fund,Supplies,Office Supplies.Office Supplies,5423,,,249,371,37100
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Supplies,Office Supplies.Office Supplies,500,,,590,590,54310
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Supplies,Office Supplies.Office Supplies,400,,,591,591,55310
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Supplies,Office Supplies.Office Supplies,500,,,249,371,72200
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Supplies,Office Supplies.Office Supplies,2155,,,249,371,37300
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Supplies,Office Supplies.Office Supplies,1127,,,249,371,37220
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Supplies,Office Supplies.Office Supplies,1825,,,249,371,37210
FY20,Expense,Attorney,Legal Services,General Fund,Supplies,Office Supplies.Office Supplies,5000,,,101,210,21000
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Supplies,Office Supplies.Office Supplies,240,,,256,400,69120
FY20,Expense,Planning,Administration 2020,Community Development Fund,Supplies,Office Supplies.Office Supplies,400,,,256,400,17520
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Supplies,Office Supplies.Office Supplies,1320,,,202,441,46300
FY20,Expense,Public Works,T and D - Mains,Water Fund,Supplies,Office Supplies.Office Supplies,1560,,,591,441,56200
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Supplies,Office Supplies.Office Supplies,600,,,230,441,44300
FY20,Expense,Public Works,Transmission,Sewer Fund,Supplies,Office Supplies.Office Supplies,1680,,,590,441,54200
FY20,Expense,District Court,Building,General Fund,Supplies,Operating Supplies.Operating Supplies,5450,,,101,136,13610
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Supplies,Operating Supplies.Operating Supplies,120000,,,591,591,55310
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Supplies,Operating Supplies.Operating Supplies,137000,,,590,590,54310
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Supplies,Operating Supplies.Operating Supplies,500,,,101,337,33901
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Supplies,Operating Supplies.Operating Supplies,1,,,590,590,54801
FY20,Expense,Public Works,Transmission,Sewer Fund,Supplies,Operating Supplies.Operating Supplies,80,,,590,441,54200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Supplies,Operating Supplies.Operating Supplies,80,,,591,441,56200
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Operating Supplies.Operating Supplies,160,,,202,441,47400
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Supplies,Operating Supplies.Operating Supplies,1280,,,400,441,17500
FY20,Expense,Fire,Fighting - Paid on Call,General Fund,Supplies,Operating Supplies.Operating Supplies,1500,,,101,337,33902
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Supplies,Operating Supplies.Operating Supplies,22700,,,401,267,26700
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Supplies,Operating Supplies.Operating Supplies,194010,,,590,590,54800
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Supplies,Operating Supplies.Operating Supplies,65200,,,591,591,56900
FY20,Expense,City Council,City Council,General Fund,Supplies,Operating Supplies.Operating Supplies,3450,,,101,101,10100
FY20,Expense,Purchasing,Central Services,General Fund,Supplies,Operating Supplies.Operating Supplies,500,,,101,233,24800
FY20,Expense,Information Technology,Information Technology,General Fund,Supplies,Operating Supplies.Operating Supplies,19000,,,101,258,25800
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Supplies,Operating Supplies.Operating Supplies,19830,,,101,267,26700
FY20,Expense,Police,Building ,General Fund,Supplies,Operating Supplies.Operating Supplies,13700,,,101,305,30610
FY20,Expense,Police,Detective Bureau,General Fund,Supplies,Operating Supplies.Operating Supplies,7000,,,101,305,31000
FY20,Expense,Police,Senior Volunteer,General Fund,Supplies,Operating Supplies.Operating Supplies,1500,,,101,305,31700
FY20,Expense,Police,Jail,General Fund,Supplies,Operating Supplies.Operating Supplies,50,,,101,305,33400
FY20,Expense,Fire,Fighting,General Fund,Supplies,Operating Supplies.Operating Supplies,23000,,,101,337,33900
FY20,Expense,Police,Forensic Science Unit,General Fund,Supplies,Operating Supplies.Operating Supplies,11000,,,101,305,31200
FY20,Expense,Police,Patrol,General Fund,Supplies,Operating Supplies.Operating Supplies,50600,,,101,305,31500
FY20,Expense,Fire,Prevention,General Fund,Supplies,Operating Supplies.Operating Supplies,3000,,,101,337,34100
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Supplies,Operating Supplies.Operating Supplies,289200,,,202,441,47800
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Supplies,Operating Supplies.Operating Supplies,8245,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Supplies,Operating Supplies.Operating Supplies,670,,,208,752,75600
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Supplies,Operating Supplies.Operating Supplies,26307,,,208,752,76100
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Supplies,Operating Supplies.Operating Supplies,87700,,,203,441,47800
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Supplies,Operating Supplies.Operating Supplies,22000,,,661,441,58200
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Supplies,Operating Supplies.Operating Supplies,20000,,,590,590,54700
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Supplies,Operating Supplies.Operating Supplies,186874,,,590,590,54300
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Supplies,Operating Supplies.Operating Supplies,7540,,,591,591,55900
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Supplies,Operating Supplies.Operating Supplies,791457,,,591,591,55300
FY20,Expense,Purchasing,Central Services,General Fund,Supplies,Operating Supplies.Postage,89466,,,101,233,24800
FY20,Expense,Purchasing,Central Services,General Fund,Supplies,Operating Supplies.Paper Supplies,6755,,,101,233,24800
FY20,Expense,Fire,Fighting,General Fund,Supplies,Operating Supplies.Medical,8500,,,101,337,33900
FY20,Expense,Information Technology,Information Technology,General Fund,Supplies,Operating Supplies.Computer Equipment,113000,,,101,258,25800
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Supplies,Fuel Supplies.Fuel Supplies,350000,,,661,441,58200
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Supplies,Uniforms.Uniforms,5600,,,661,441,58200
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Supplies,Uniforms.Uniforms,1500,,,591,591,56500
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Supplies,Uniforms.Uniforms,10700,,,591,591,55300
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Supplies,Uniforms.Uniforms,9030,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Supplies,Uniforms.Uniforms,3040,,,590,441,54200
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Supplies,Uniforms.Uniforms,2190,,,590,590,54700
FY20,Expense,Fire,Fighting,General Fund,Supplies,Uniforms.Uniforms,18000,,,101,337,33900
FY20,Expense,Fire,Administration Services,General Fund,Supplies,Uniforms.Uniforms,1250,,,101,337,33700
FY20,Expense,Police,Senior Volunteer,General Fund,Supplies,Uniforms.Uniforms,1000,,,101,305,31700
FY20,Expense,Police,Patrol,General Fund,Supplies,Uniforms.Uniforms,40000,,,101,305,31500
FY20,Expense,Police,Forensic Science Unit,General Fund,Supplies,Uniforms.Uniforms,1800,,,101,305,31200
FY20,Expense,Police,Detective Bureau,General Fund,Supplies,Uniforms.Uniforms,5000,,,101,305,31000
FY20,Expense,Police,Administration Services,General Fund,Supplies,Uniforms.Uniforms,4855,,,101,305,30500
FY20,Expense,District Court,District Court,General Fund,Supplies,Uniforms.Uniforms,1500,,,101,136,13600
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Uniforms.Uniforms,500,,,203,441,47400
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Supplies,Uniforms.Uniforms,3500,,,208,752,75600
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Supplies,Uniforms.Uniforms,4500,,,202,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Uniforms.Uniforms,1280,,,202,441,47400
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Supplies,Uniforms.Uniforms,3500,,,203,441,46300
FY20,Expense,Fire,Prevention,General Fund,Supplies,Uniforms.Uniforms,500,,,101,337,34100
FY20,Expense,Public Works,T and D - Services,Water Fund,Supplies,Uniforms.Uniforms,3500,,,591,441,56700
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Supplies,Uniforms.Uniforms,300,,,590,590,54800
FY20,Expense,Public Works,T and D - Mains,Water Fund,Supplies,Uniforms.Uniforms,3540,,,591,441,56200
FY20,Expense,Fire,Fighting - Paid on Call,General Fund,Supplies,Uniforms.Uniforms,1000,,,101,337,33902
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Supplies,Uniforms.Uniforms,640,,,400,441,17500
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Supplies,Uniforms.Uniforms,376,,,249,371,37220
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Supplies,Uniforms.Uniforms,787,,,249,371,37210
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Supplies,Uniforms.Uniforms,1000,,,101,337,33901
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Supplies,Uniforms.Uniforms,1400,,,590,590,54310
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Supplies,Uniforms.Uniforms,1385,,,591,591,55310
FY20,Expense,Permits,Permits,Building Inspection Fund,Supplies,Uniforms.Uniforms,2100,,,249,371,37100
FY20,Expense,Fire,Fighting - Paid on Call,General Fund,Supplies,Uniforms.Turn Out Gear,8800,,,101,337,33902
FY20,Expense,Fire,Fighting,General Fund,Supplies,Uniforms.Turn Out Gear,23000,,,101,337,33900
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Supplies,Uniforms.Turn Out Gear,6600,,,101,337,33901
FY20,Expense,City Manager,City Manager,General Fund,Supplies,Awards.Awards,9000,,,101,172,17200
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Supplies,Tools and Supplies.Tools and Supplies,800,,,400,441,17500
FY20,Expense,Public Works,T and D - Mains,Water Fund,Supplies,Tools and Supplies.Tools and Supplies,50,,,591,441,56200
FY20,Expense,Public Works,Transmission,Sewer Fund,Supplies,Tools and Supplies.Tools and Supplies,50,,,590,441,54200
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Tools and Supplies.Tools and Supplies,1500,,,202,441,47400
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Supplies,Tools and Supplies.Tools and Supplies,900,,,208,752,75600
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Tools and Supplies.Tools and Supplies,500,,,203,441,47400
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Supplies,Tools and Supplies.Tools and Supplies,5150,,,590,590,54700
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Supplies,Tools and Supplies.Tools and Supplies,3751,,,590,590,54300
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Supplies,Tools and Supplies.Tools and Supplies,6500,,,591,591,55300
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Supplies,Tools and Supplies.Tools and Supplies,1500,,,591,591,56500
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Supplies,Tools and Supplies.Tools and Supplies,15000,,,661,441,58200
FY20,Expense,Public Works,Building,Motor Pool Fund,Supplies,Tools and Supplies.Tools and Supplies,13500,,,661,441,58300
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Supplies,Maintenance Supplies.Maintenance Supplies,11550,,,590,590,54800
FY20,Expense,Public Works,T and D - Services,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,120000,,,591,441,56700
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,13000,,,591,441,56600
FY20,Expense,Public Works,T and D - Mains,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,99000,,,591,441,56200
FY20,Expense,Public Works,Building,Motor Pool Fund,Supplies,Maintenance Supplies.Maintenance Supplies,35000,,,661,441,58300
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Supplies,Maintenance Supplies.Maintenance Supplies,260000,,,661,441,58200
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,140000,,,591,591,56500
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,190001,,,591,591,55300
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,8000,,,591,591,55900
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Supplies,Maintenance Supplies.Maintenance Supplies,187000,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Supplies,Maintenance Supplies.Maintenance Supplies,58000,,,590,441,54200
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Supplies,Maintenance Supplies.Maintenance Supplies,2000,,,590,590,54700
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,1500,,,591,591,56100
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,14500,,,591,591,56300
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,26440,,,203,441,47400
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Supplies,Maintenance Supplies.Maintenance Supplies,72450,,,208,752,75600
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Supplies,Maintenance Supplies.Maintenance Supplies,7560,,,208,752,75800
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Supplies,Maintenance Supplies.Maintenance Supplies,4000,,,211,441,44210
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,161700,,,202,441,47400
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,61000,,,203,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,75000,,,202,441,46300
FY20,Expense,Fire,Buildings,General Fund,Supplies,Maintenance Supplies.Maintenance Supplies,13000,,,101,337,33800
FY20,Expense,Fire,Fighting,General Fund,Supplies,Maintenance Supplies.Maintenance Supplies,3500,,,101,337,33900
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Supplies,Maintenance Supplies.Maintenance Supplies,2901,,,590,590,54801
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Supplies,Maintenance Supplies.Maintenance Supplies,2500,,,230,441,44300
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Supplies,Maintenance Supplies.Maintenance Supplies,2000,,,590,590,54310
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Supplies,Maintenance Supplies.Maintenance Supplies,3500,,,591,591,55310
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Professional Services.Professional Services,4400,,,400,441,17500
FY20,Expense,Planning,Administration 2020,Community Development Fund,Other Services and Charges,Professional Services.Professional Services,32850,,,256,400,17520
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Other Services and Charges,Professional Services.Professional Services,3100,,,256,400,69120
FY20,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Professional Services.Professional Services,100000,,,101,258,25800
FY20,Expense,Finance,Accounting,General Fund,Other Services and Charges,Professional Services.Professional Services,90050,,,101,201,20100
FY20,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Professional Services.Professional Services,61880,,,101,172,17200
FY20,Expense,District Court,District Court,General Fund,Other Services and Charges,Professional Services.Professional Services,44700,,,101,136,13600
